city_id,city_name,state,lat,lon
1,DOTHAN,AL,31.23,-85.4
2,BOAZ,AL,34.2,-86.15
3,FLORENCE,AL,34.82,-87.66
4,BIRMINGHAM,AL,33.52,-86.79
5,ALABASTER,AL,33.22,-86.82
6,MONTGOMERY,AL,32.35,-86.28
7,OPELIKA,AL,32.65,-85.37
8,CULLMAN,AL,34.17,-86.83
9,HUNTSVILLE,AL,34.7,-86.62
10,GADSDEN,AL,34.01,-86.01
11,ANNISTON,AL,33.66,-85.81
12,DECATUR,AL,34.57,-86.98
13,MOBILE,AL,30.68,-88.04
14,TUSCALOOSA,AL,33.23,-87.54
15,FAIRHOPE,AL,30.51,-87.88
16,ANCHORAGE,AK,61.2,-149.82
17,TUCSON,AZ,32.25,-110.87
18,COTTONWOOD,AZ,34.75,-112.01
19,PRESCOTT,AZ,34.62,-112.42
20,PHOENIX,AZ,33.5,-112.08
21,SUN CITY,AZ,33.6,-112.28
22,SHOW LOW,AZ,34.23,-110.07
23,MESA,AZ,33.38,-111.87
24,LAKE HAVASU CIT,AZ,34.48,-114.32
25,SCOTTSDALE,AZ,33.61,-111.89
26,BULLHEAD CITY,AZ,35.09,-114.57
27,FAYETTEVILLE,AR,36.07,-94.15
28,LITTLE ROCK,AR,34.72,-92.35
29,ROGERS,AR,36.33,-94.13
30,JONESBORO,AR,35.82,-90.68
31,SPRINGDALE,AR,36.18,-94.14
32,HOT SPRINGS,AR,34.5,-93.05
33,MOUNTAIN HOME,AR,36.33,-92.37
34,CONWAY,AR,35.05,-92.5
35,NORTH LITTLE RO,AR,34.78,-92.25
36,FORT SMITH,AR,35.36,-94.38
37,EL DORADO,AR,33.21,-92.66
38,BATESVILLE,AR,35.76,-91.62
39,EUREKA,CA,40.8,-124.15
40,SAINT HELENA,CA,38.55,-122.39
41,SACRAMENTO,CA,38.56,-121.43
42,RIVERSIDE,CA,33.99,-117.38
43,LA MESA,CA,32.78,-117.01
44,BAKERSFIELD,CA,35.38,-119.02
45,CHICO,CA,39.74,-121.83
46,VISALIA,CA,36.4,-119.38
47,ORANGE,CA,33.78,-117.86
48,SAN DIEGO,CA,32.74,-117.17
49,OXNARD,CA,34.19,-119.17
50,STOCKTON,CA,37.97,-121.32
51,FRESNO,CA,36.81,-119.75
52,UPLAND,CA,34.1,-117.66
53,SANTA MARIA,CA,34.91,-120.23
54,OCEANSIDE,CA,33.2,-117.29
55,MARYSVILLE,CA,39.15,-121.47
56,MONTEREY,CA,36.6,-121.88
57,FULLERTON,CA,33.9,-117.91
58,SANTA ROSA,CA,38.43,-122.67
59,FREMONT,CA,37.5,-121.96
60,REDWOOD CITY,CA,37.4,-122.29
61,CHULA VISTA,CA,32.61,-117.03
62,NEWPORT BEACH,CA,33.62,-117.93
63,PARADISE,CA,39.74,-121.61
64,SAN LUIS OBISPO,CA,35.25,-120.62
65,BURBANK,CA,34.17,-118.34
66,GLENDALE,CA,34.16,-118.2
67,LOS ANGELES,CA,34.07,-118.44
68,REDDING,CA,40.6,-122.46
69,SANTA MONICA,CA,34.02,-118.47
70,MOUNTAIN VIEW,CA,37.38,-122.08
71,LA JOLLA,CA,32.86,-117.24
72,SALINAS,CA,36.64,-121.62
73,SONORA,CA,37.98,-120.39
74,TORRANCE,CA,33.84,-118.32
75,GREENBRAE,CA,37.94,-122.56
76,COVINA,CA,34.08,-117.88
77,HEMET,CA,33.66,-116.98
78,VENTURA,CA,34.28,-119.22
79,SANTA BARBARA,CA,34.42,-119.7
80,PASADENA,CA,34.16,-118.16
81,STANFORD,CA,37.41,-122.17
82,SAN FRANCISCO,CA,37.76,-122.45
