SourceFile,ShutterSpeed,Aperture,FocalLength,ISO,DateTimeOriginal,Model,Lens
thumbnails/IMG_9162.jpg,0.01666666667,2.2,50,1000,2012:07:01 21:15:08,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_9439.jpg,0.002,5.6,250,100,2012:07:02 13:17:34,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_9466-Edit.jpg,0.001,3.5,21,100,2012:07:02 15:28:43,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_9509.jpg,0.01666666667,3.2,50,1600,2012:07:08 23:51:59,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_9577.jpg,0.01666666667,2.8,50,2000,2012:07:12 22:15:10,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_9847.jpg,0.07692307692,4.5,55,3200,2012:08:23 21:35:57,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_9901.jpg,0.01,3.2,50,100,2012:08:17 16:07:05,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/landscape.jpg,0.000625,3.5,7.9,80,2009:10:15 13:07:36,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/landscape1.jpg,0.000625,3.5,70.8,80,2009:01:11 09:55:08,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/Musicbuff.jpg,0.004,5.6,179,2000,2012:09:03 01:15:13,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/ohmy.jpg,0.003125,5.6,163,3200,2012:08:30 21:07:42,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/people2.jpg,0.003125,3.5,28.4,80,2009:01:11 11:14:04,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/Terrorist.jpg,0.01666666667,5.6,214,3200,2012:09:03 00:34:26,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/wildlife1.jpg,0.0025,3.5,72,160,2009:01:11 13:47:19,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_2288.jpg,0.0005,3.5,18,100,2011:09:16 21:28:57,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2292.jpg,0.001,5.6,55,100,2011:09:16 21:29:19,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2364.jpg,0.00125,2.8,50,100,2011:09:22 21:36:55,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_2380.jpg,0.0025,2.8,50,100,2011:09:22 21:46:52,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_2430.jpg,0.01,2.8,50,100,2011:09:22 22:09:04,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_2547.jpg,0.0008,5,8.4,80,2008:03:12 15:23:33,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_2581.jpg,0.01666666667,2.8,50,640,2012:11:19 16:00:13,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_2642.jpg,0.0025,5.6,250,250,2012:11:25 13:16:11,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_2665.jpg,0.025,5.6,18,250,2011:09:24 19:57:44,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2744.jpg,0.03333333333,5.6,21,1600,2011:09:24 22:58:34,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2801.jpg,0.01,5.6,55,400,2011:09:27 22:26:56,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2857.jpg,0.002,3.5,37.8,80,2010:11:16 15:00:59,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_2869.jpg,0.004,3.5,31.2,80,2010:11:16 15:03:20,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_2875.jpg,0.2,5.6,18,3200,2011:09:27 23:18:45,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2898.jpg,4,5.6,36,200,2011:10:02 01:23:36,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_2934.jpg,0.0025,5,123,100,2012:11:26 14:58:44,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_2947.jpg,0.0025,5.6,250,1000,2012:11:26 15:23:34,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_3005.jpg,0.0004,2.5,50,100,2012:11:27 11:13:26,Canon EOS 550D,EF50mm f/1.8 II
